Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
1/23/2020,Oxnard,California,urban,Elementry School,0,1,January,2020,Thursday,West,Low
2/3/2020,Commerce,Texas,rural,College,2,1,February,2020,Monday,South,Medium
9/16/2020,Sonora,California,rural,High School,1,0,September,2020,Wednesday,West,Low
9/16/2020,Macomb,Illinois,rural,College,0,1,September,2020,Monday,Midwest,Low
2/26/2021,New Orleans,Louisiana,urban,High School,1,0,February,2021,Friday,South,Low
3/1/2021,Pine Bluff,Arkansas,rural,Middle School,1,0,March,2021,Tuesday,South,Low
4/12/2021,Knoxville,Tennessee,urban,High School,1,1,April,2021,Monday,South,Low
4/26/2021,Plymouth,Minnesota,suburban,Middle School,0,0,April,2021,Monday,Midwest,Low
5/6/2021,Rigby,Idaho,rural,Middle School,0,3,May,2021,Friday,West,Medium
8/13/2021,Albuquerque,New Mexico,urban,Middle School,1,0,August,2021,Tuesday,West,Low
8/18/2021,Orangeburg,South Carolina,rural,High School,0,3,August,2021,Tuesday,South,Medium
8/27/2021,Woodridge,Virginia,suburban,High School,0,2,August,2021,Tuesday,South,Low
8/27/2021,Sharon Hill,Pennsylvania,suburban,High School,1,4,August,2021,Friday,Northeast,Medium
8/27/2021,Wilmington,North Carolina,urban,High School,0,1,August,2021,Wednesday,South,Low
9/1/2021,Winston-Salem,North Carolina,urban,High School,1,0,September,2021,Wednesday,South,Low
9/4/2021,Towson,Maryland,suburban,College,0,3,September,2021,Friday,South,Medium
9/20/2021,Newport News,Virginia,urban,High School,0,4,September,2021,Tuesday,South,Medium
9/21/2021,Wichita,Kansas,urban,High School,0,3,September,2021,Tuesday,Midwest,Medium
9/24/2021,Fairfield,Alabama,rural,High School,0,1,September,2021,Wednesday,South,Low
9/30/2021,Memphis,Tennessee,urban,Elementry School,0,1,September,2021,Thursday,South,Low
9/30/2021,Newton,Mississippi,rural,Elementry School,0,1,September,2021,Thursday,South,Low
10/1/2021,Houston,Texas,urban,High School,0,1,October,2021,Monday,South,Low
10/6/2021,Arlington,Texas,urban,High School,0,4,October,2021,Wednesday,South,Medium
10/12/2021,Chicago,Illinois,urban,High School,0,2,October,2021,Monday,Midwest,Low
10/13/2021,Grambling,Louisiana,rural,College,1,1,October,2021,Wednesday,South,Low
10/17/2021,Grambling,Louisiana,rural,College,1,7,October,2021,Wednesday,South,High
11/1/2021,Madison,Mississippi,rural,High School,0,0,November,2021,Wednesday,South,Low
11/19/2021,Aurora,Colorado,suburban,High School,0,3,November,2021,Friday,West,Medium
11/26/2021,Campbell,California,suburban,High School,0,2,November,2021,Monday,West,Low
11/29/2021,Phoenix,Arizona,urban,High School,0,1,November,2021,Saturday,West,Low
11/30/2021,Oxford Township,Michigan,rural,High School,4,7,November,2021,Monday,Midwest,High
11/30/2021,Humbolt,Tennessee,rural,High School,1,2,November,2021,Tuesday,South,Medium
12/6/2021,Wilmington,California,urban,Elementry School,1,2,December,2021,Wednesday,West,Medium
12/8/2021,Kansas City,Missouri,urban,Middle School,0,2,December,2021,Thursday,Midwest,Low
1/4/2022,Rockford,Illinois,urban,High School,0,2,January,2022,Tuesday,Midwest,Low
1/9/2022,Murfreesboro,North Carolina,rural,College,0,0,January,2022,Thursday,South,Low
1/11/2022,Albuquerque,New Mexico,urban,High School,0,0,January,2022,Monday,West,Low
1/19/2022,Sanford,Florida,suburban,High School,0,1,January,2022,Thursday,South,Low
1/19/2022,Pittsburgh,Pennsylvania,urban,High School,1,0,January,2022,Wednesday,Northeast,Low
1/21/2022,Derwood,Maryland,suburban,High School,0,1,January,2022,Thursday,South,Low
1/29/2022,Beloit,Wisconsin,suburban,High School,1,0,January,2022,Saturday,Midwest,Low
2/1/2022,Richfield,Minnesota,suburban,High School,1,1,February,2022,Tuesday,Midwest,Low
2/1/2022,Bridgewater,Virginia,suburban,College,2,1,February,2022,Tuesday,South,Medium
2/8/2022,Catonsville,Maryland,suburban,High School,0,1,February,2022,Thursday,South,Low
3/4/2022,Olathe,Kansas,suburban,High School,0,3,March,2022,Friday,Midwest,Medium
3/7/2022,Des Moines,Iowa,urban,High School,1,2,March,2022,Thursday,Midwest,Medium
3/31/2022,Greenville,South Carolina,urban,Middle School,1,0,March,2022,Wednesday,South,Low
4/5/2022,Erie,Pennsylvania,urban,High School,0,1,April,2022,Tuesday,Northeast,Low
4/22/2022,Washington,District of Columbia,urban,High School,0,4,April,2022,Friday,South,Medium
5/9/2022,Suwanee,Georgia,suburban,High School,0,1,May,2022,Friday,South,Low
5/17/2022,Chicago,Illinois,urban,Elementry School,0,1,May,2022,Friday,Midwest,Low
5/24/2022,Uvalde,Texas,rural,Elementry School,22,15,May,2022,Thursday,South,High
5/31/2022,New Orleans,Louisiana,urban,College,1,2,May,2022,Thursday,South,Medium
6/1/2022,Los Angeles,California,urban,Elementry School,0,1,June,2022,Monday,West,Low
8/19/2022,Clarksville,Tennessee,suburban,High School,0,0,August,2022,Thursday,South,Low
